date,value
2020-04-01 00:00:00,null
2020-04-01 00:15:00,null
2020-04-01 00:30:00,null
2020-04-01 00:45:00,null
2020-04-01 01:00:00,null
2020-04-01 01:15:00,null
2020-04-01 01:30:00,null
2020-04-01 01:45:00,null
2020-04-01 02:00:00,null
2020-04-01 02:15:00,null
2020-04-01 02:30:00,null
2020-04-01 02:45:00,null
2020-04-01 03:00:00,null
2020-04-01 03:15:00,null
2020-04-01 03:30:00,null
2020-04-01 03:45:00,null
2020-04-01 04:00:00,null
2020-04-01 04:15:00,null
2020-04-01 04:30:00,null
2020-04-01 04:45:00,null
2020-04-01 05:00:00,null
2020-04-01 05:15:00,null
2020-04-01 05:30:00,0.0
2020-04-01 05:45:00,null
2020-04-01 06:00:00,null
2020-04-01 06:15:00,null
2020-04-01 06:30:00,0.0
2020-04-01 06:45:00,0.0
2020-04-01 07:00:00,13.0
2020-04-01 07:15:00,52.0
2020-04-01 07:30:00,106.0
2020-04-01 07:45:00,161.0
2020-04-01 08:00:00,198.0
2020-04-01 08:15:00,277.0
2020-04-01 08:30:00,350.0
2020-04-01 08:45:00,377.0
2020-04-01 09:00:00,427.0
2020-04-01 09:15:00,523.0
2020-04-01 09:30:00,546.0
2020-04-01 09:45:00,510.0
2020-04-01 10:00:00,726.0
2020-04-01 10:15:00,935.0
2020-04-01 10:30:00,910.0
2020-04-01 10:45:00,952.0
2020-04-01 11:00:00,1066.0
2020-04-01 11:15:00,1054.0
2020-04-01 11:30:00,814.0
2020-04-01 11:45:00,1244.0
2020-04-01 12:00:00,1253.0
2020-04-01 12:15:00,1080.0
2020-04-01 12:30:00,1124.0
2020-04-01 12:45:00,1223.0
2020-04-01 13:00:00,1079.0
2020-04-01 13:15:00,1051.0
2020-04-01 13:30:00,923.0
2020-04-01 13:45:00,1112.0
2020-04-01 14:00:00,1016.0
2020-04-01 14:15:00,1044.0
2020-04-01 14:30:00,1050.0
2020-04-01 14:45:00,957.0
2020-04-01 15:00:00,971.0
2020-04-01 15:15:00,900.0
