date,value
2021-12-01 00:00:00,null
2021-12-01 00:15:00,null
2021-12-01 00:30:00,null
2021-12-01 00:45:00,null
2021-12-01 01:00:00,null
2021-12-01 01:15:00,null
2021-12-01 01:30:00,null
2021-12-01 01:45:00,null
2021-12-01 02:00:00,null
2021-12-01 02:15:00,null
2021-12-01 02:30:00,null
2021-12-01 02:45:00,null
2021-12-01 03:00:00,null
2021-12-01 03:15:00,null
2021-12-01 03:30:00,null
2021-12-01 03:45:00,null
2021-12-01 04:00:00,null
2021-12-01 04:15:00,null
2021-12-01 04:30:00,null
2021-12-01 04:45:00,null
2021-12-01 05:00:00,null
2021-12-01 05:15:00,null
2021-12-01 05:30:00,null
2021-12-01 05:45:00,null
2021-12-01 06:00:00,null
2021-12-01 06:15:00,null
2021-12-01 06:30:00,null
2021-12-01 06:45:00,0.0
2021-12-01 07:00:00,0.0
2021-12-01 07:15:00,37.78216
2021-12-01 07:30:00,144.77193
2021-12-01 07:45:00,362.50986
2021-12-01 08:00:00,421.80054
2021-12-01 08:15:00,501.73267
2021-12-01 08:30:00,913.43365
2021-12-01 08:45:00,1440.3779
2021-12-01 09:00:00,974.694
2021-12-01 09:15:00,870.33136
2021-12-01 09:30:00,805.46106
2021-12-01 09:45:00,1500.1366
2021-12-01 10:00:00,2754.5564
2021-12-01 10:15:00,2292.902
2021-12-01 10:30:00,2821.4045
2021-12-01 10:45:00,2938.915
2021-12-01 11:00:00,2958.7627
2021-12-01 11:15:00,2947.2317
2021-12-01 11:30:00,2912.835
2021-12-01 11:45:00,2824.5044
2021-12-01 12:00:00,2729.9688
2021-12-01 12:15:00,2546.2974
2021-12-01 12:30:00,2286.4277
2021-12-01 12:45:00,2020.8811
2021-12-01 13:00:00,1722.7173
2021-12-01 13:15:00,1444.7115
2021-12-01 13:30:00,1393.3479
2021-12-01 13:45:00,1348.668
2021-12-01 14:00:00,1169.3346
2021-12-01 14:15:00,840.9429
2021-12-01 14:30:00,556.1016
2021-12-01 14:45:00,473.8492
2021-12-01 15:00:00,584.0926
2021-12-01 15:15:00,722.8296
2021-12-01 15:30:00,655.04095
2021-12-01 15:45:00,532.2877
2021-12-01 16:00:00,381.88028
2021-12-01 16:15:00,45.141254
2021-12-01 16:30:00,0.0
2021-12-01 16:45:00,0.0
2021-12-01 17:00:00,null
2021-12-01 17:15:00,null
2021-12-01 17:30:00,null
2021-12-01 17:45:00,null
2021-12-01 18:00:00,null
2021-12-01 18:15:00,null
2021-12-01 18:30:00,null
2021-12-01 18:45:00,null
2021-12-01 19:00:00,null
2021-12-01 19:15:00,null
2021-12-01 19:30:00,null
2021-12-01 19:45:00,null
2021-12-01 20:00:00,null
2021-12-01 20:15:00,null
2021-12-01 20:30:00,null
2021-12-01 20:45:00,null
2021-12-01 21:00:00,null
2021-12-01 21:15:00,null
2021-12-01 21:30:00,null
2021-12-01 21:45:00,null
2021-12-01 22:00:00,null
2021-12-01 22:15:00,null
2021-12-01 22:30:00,null
2021-12-01 22:45:00,null
2021-12-01 23:00:00,null
2021-12-01 23:15:00,null
2021-12-01 23:30:00,null
2021-12-01 23:45:00,null
2021-12-02 00:00:00,null
2021-12-02 00:15:00,null
2021-12-02 00:30:00,null
2021-12-02 00:45:00,null
2021-12-02 01:00:00,null
2021-12-02 01:15:00,null
2021-12-02 01:30:00,null
2021-12-02 01:45:00,null
2021-12-02 02:00:00,null
2021-12-02 02:15:00,null
2021-12-02 02:30:00,null
2021-12-02 02:45:00,null
2021-12-02 03:00:00,null
2021-12-02 03:15:00,null
2021-12-02 03:30:00,null
2021-12-02 03:45:00,null
2021-12-02 04:00:00,0.0
2021-12-02 04:15:00,null
2021-12-02 04:30:00,null
2021-12-02 04:45:00,null
2021-12-02 05:00:00,null
2021-12-02 05:15:00,null
2021-12-02 05:30:00,null
2021-12-02 05:45:00,null
2021-12-02 06:00:00,null
2021-12-02 06:15:00,null
2021-12-02 06:30:00,null
2021-12-02 06:45:00,0.0
2021-12-02 07:00:00,2.1882563
2021-12-02 07:15:00,9.081902
2021-12-02 07:30:00,62.23849
2021-12-02 07:45:00,149.09702
2021-12-02 08:00:00,217.44624
2021-12-02 08:15:00,304.15744
2021-12-02 08:30:00,437.24088
2021-12-02 08:45:00,663.3341
2021-12-02 09:00:00,963.4424
2021-12-02 09:15:00,1536.0023
2021-12-02 09:30:00,2118.7212
2021-12-02 09:45:00,2463.9414
2021-12-02 10:00:00,2642.987
2021-12-02 10:15:00,2772.0862
2021-12-02 10:30:00,2871.8967
2021-12-02 10:45:00,2950.2952
2021-12-02 11:00:00,3003.9712
2021-12-02 11:15:00,3006.3945
2021-12-02 11:30:00,2981.7917
2021-12-02 11:45:00,2880.8113
2021-12-02 12:00:00,2730.9897
2021-12-02 12:15:00,2541.5225
2021-12-02 12:30:00,2289.7908
2021-12-02 12:45:00,2021.9213
2021-12-02 13:00:00,1705.7941
2021-12-02 13:15:00,1420.1167
2021-12-02 13:30:00,1404.5204
2021-12-02 13:45:00,1347.18
2021-12-02 14:00:00,1175.8586
2021-12-02 14:15:00,863.115
2021-12-02 14:30:00,563.626
2021-12-02 14:45:00,488.48517
2021-12-02 15:00:00,587.7753
2021-12-02 15:15:00,706.678
2021-12-02 15:30:00,642.70715
2021-12-02 15:45:00,522.67664
2021-12-02 16:00:00,350.6818
2021-12-02 16:15:00,47.670612
2021-12-02 16:30:00,0.0
2021-12-02 16:45:00,0.0
2021-12-02 17:00:00,null
2021-12-02 17:15:00,null
2021-12-02 17:30:00,null
