date,value
2021-10-01 00:00:00,null
2021-10-01 00:15:00,null
2021-10-01 00:30:00,null
2021-10-01 00:45:00,null
2021-10-01 01:00:00,null
2021-10-01 01:15:00,null
2021-10-01 01:30:00,null
2021-10-01 01:45:00,null
2021-10-01 02:00:00,null
2021-10-01 02:15:00,null
2021-10-01 02:30:00,0.0
2021-10-01 02:45:00,null
2021-10-01 03:00:00,null
2021-10-01 03:15:00,null
2021-10-01 03:30:00,null
2021-10-01 03:45:00,null
2021-10-01 04:00:00,null
2021-10-01 04:15:00,null
2021-10-01 04:30:00,null
2021-10-01 04:45:00,null
2021-10-01 05:00:00,null
2021-10-01 05:15:00,null
2021-10-01 05:30:00,null
2021-10-01 05:45:00,null
2021-10-01 06:00:00,null
2021-10-01 06:15:00,null
2021-10-01 06:30:00,null
2021-10-01 06:45:00,0.0
2021-10-01 07:00:00,0.0
2021-10-01 07:15:00,47.382748
2021-10-01 07:30:00,151.09833
2021-10-01 07:45:00,356.73596
2021-10-01 08:00:00,452.4209
2021-10-01 08:15:00,861.0434
2021-10-01 08:30:00,1356.6368
2021-10-01 08:45:00,1676.212
2021-10-01 09:00:00,1826.3541
2021-10-01 09:15:00,1594.917
2021-10-01 09:30:00,1295.9902
2021-10-01 09:45:00,1131.7236
2021-10-01 10:00:00,1625.3401
2021-10-01 10:15:00,1586.5398
2021-10-01 10:30:00,3177.8938
2021-10-01 10:45:00,3398.783
2021-10-01 11:00:00,4029.543
2021-10-01 11:15:00,3227.7864
2021-10-01 11:30:00,3651.8542
2021-10-01 11:45:00,3351.4333
2021-10-01 12:00:00,2930.2231
2021-10-01 12:15:00,3712.339
2021-10-01 12:30:00,4416.9897
2021-10-01 12:45:00,5053.825
2021-10-01 13:00:00,5139.8906
2021-10-01 13:15:00,2886.0986
2021-10-01 13:30:00,3346.1846
2021-10-01 13:45:00,3583.244
2021-10-01 14:00:00,3219.7507
2021-10-01 14:15:00,3299.8694
2021-10-01 14:30:00,3520.009
2021-10-01 14:45:00,3175.0461
2021-10-01 15:00:00,2965.2913
2021-10-01 15:15:00,2791.873
2021-10-01 15:30:00,2819.3179
2021-10-01 15:45:00,2469.3223
2021-10-01 16:00:00,2452.9316
2021-10-01 16:15:00,1284.7743
2021-10-01 16:30:00,1098.114
2021-10-01 16:45:00,929.20685
2021-10-01 17:00:00,703.4289
2021-10-01 17:15:00,458.9602
2021-10-01 17:30:00,345.50293
2021-10-01 17:45:00,243.30853
2021-10-01 18:00:00,121.996315
2021-10-01 18:15:00,6.058758
2021-10-01 18:30:00,0.0
2021-10-01 18:45:00,0.0
2021-10-01 19:00:00,null
2021-10-01 19:15:00,null
2021-10-01 19:30:00,null
2021-10-01 19:45:00,null
2021-10-01 20:00:00,null
2021-10-01 20:15:00,null
2021-10-01 20:30:00,null
2021-10-01 20:45:00,null
2021-10-01 21:00:00,null
2021-10-01 21:15:00,null
2021-10-01 21:30:00,null
